"Cap waktu","Umur anda","Lama penggunaan gadget / hari","Keterangan pemakaian (opsional, boleh dikosongkan)"
"2022/06/15 8:11:59 PM GMT+7","15","6-10 jam",""
"2022/06/15 8:18:21 PM GMT+7","12","18 jam >",""
"2022/06/15 8:20:28 PM GMT+7","17","6-10 jam","Peler"
"2022/06/15 8:21:06 PM GMT+7","17","1-5 jam",""
"2022/06/15 8:59:26 PM GMT+7","18","18 jam >","Dipakai kalau perlu aja, atau buat iseng2 liat yutub sekaligus nonton anime.. "
"2022/06/15 9:05:29 PM GMT+7","12","18 jam >",""
"2022/06/15 9:15:14 PM GMT+7","30","6-10 jam",""
"2022/06/15 9:52:52 PM GMT+7","27","1-5 jam",""
"2022/06/16 6:47:09 AM GMT+7","17","6-10 jam",""
"2022/06/16 10:08:18 AM GMT+7","14","6-10 jam","Random"
"2022/06/16 10:24:37 AM GMT+7","12","6-10 jam",""
"2022/06/16 1:42:48 PM GMT+7","13","6-10 jam",""
"2022/06/16 1:43:54 PM GMT+7","13","6-10 jam","Boleh"
"2022/06/16 1:44:21 PM GMT+7","13","6-10 jam",""
"2022/06/16 2:39:05 PM GMT+7","15","1-5 jam","Ndak tau"
"2022/06/16 3:18:42 PM GMT+7","16","6-10 jam","Dulu sering nge-game tapi semenjak game yang saya mainkan di uninstall akhirnya bisa mengurangi gatget dan berkurang main hpnya"
"2022/06/16 4:06:16 PM GMT+7","17","1-5 jam",""
"2022/06/16 4:43:16 PM GMT+7","98","18 jam >","Hehehe not bad"
"2022/06/16 5:40:07 PM GMT+7","14","1-5 jam",""
"2022/06/16 5:42:52 PM GMT+7","20","1-5 jam","Mengerjakan tugas dll"
"2022/06/16 9:45:32 PM GMT+7","15","1-5 jam",""
"2022/06/17 12:12:31 AM GMT+7","15","18 jam >","Ngegame,nonton,chat,dll"
"2022/06/17 2:18:16 AM GMT+7","21","1-5 jam",""
"2022/06/17 7:52:46 AM GMT+7","20","6-10 jam","kuliah, tugas, sosial media"
"2022/06/18 8:58:41 AM GMT+7","17","< 1 jam",""
"2022/06/19 9:24:41 PM GMT+7","20","1-5 jam",""
"2022/06/19 9:32:04 PM GMT+7","19","11 - 18 jam","Sosial Media"
"2022/06/19 9:40:49 PM GMT+7","19","6-10 jam",""
"2022/06/19 9:41:21 PM GMT+7","18","11 - 18 jam","Social media"
"2022/06/19 9:42:54 PM GMT+7","19","1-5 jam",""
"2022/06/19 9:49:33 PM GMT+7","18","6-10 jam","Aktivitas sehari hari"
"2022/06/19 9:53:41 PM GMT+7","17","6-10 jam",""
"2022/06/19 10:56:53 PM GMT+7","19","6-10 jam",""
"2022/06/19 11:21:53 PM GMT+7","20","6-10 jam","Kebutuhan sehari hari/scroll tiktok"
"2022/06/20 1:00:37 AM GMT+7","22","6-10 jam",""
"2022/06/20 1:19:36 AM GMT+7","19","11 - 18 jam","sosmed"
"2022/06/20 8:28:22 AM GMT+7","19","1-5 jam",""
"2022/06/20 8:31:59 AM GMT+7","Nurhafidz","11 - 18 jam",""
"2022/06/20 9:42:50 AM GMT+7","20","6-10 jam",""
"2022/06/20 11:15:05 AM GMT+7","20","6-10 jam",""
"2022/06/20 11:40:50 AM GMT+7","19","1-5 jam",""
"2022/06/20 12:13:46 PM GMT+7","20","6-10 jam",""
"2022/06/20 1:39:29 PM GMT+7","Salman Alfarisi Nasution","1-5 jam",""
"2022/06/20 1:45:22 PM GMT+7","Gilang Herdiansyah Saputra","11 - 18 jam",""
"2022/06/20 8:05:51 PM GMT+7","HilmanHs","1-5 jam",""
"2022/06/21 9:32:11 AM GMT+7","19","11 - 18 jam",""
"2022/06/21 9:34:57 AM GMT+7","19","6-10 jam",""
"2022/06/21 4:04:04 PM GMT+7","18","18 jam >","Saya sering memakai gadget karena untuk jaman sekarang gadget sangat penting untuk belajar atau pekerjaan saya"
"2022/06/21 7:27:07 PM GMT+7","18","1-5 jam",""
"2022/06/21 10:53:26 PM GMT+7","Eri Sukmawan ","11 - 18 jam","Scroll tiktok"
"2022/06/22 3:17:25 PM GMT+7","19","6-10 jam","main game"
"2022/06/22 10:40:00 PM GMT+7","20","6-10 jam","Maen hp paling,kalau lagi gk disuruh aja sih,kek cuci piring,masak, maen hp juga paling cuman, maen game,chat ayang,ada yg ngajak kerja,ngeliat grup yg isi nya temen semua,tapi jarang ikut nimbrung hehhe,udah itu aja sih"
"2022/06/22 10:44:32 PM GMT+7","18","6-10 jam","Saya biasa gunakan hp untuk mendapatkan informasi seputar berita, belajar, nonton anime, dll"
"2022/06/22 10:54:34 PM GMT+7","18","11 - 18 jam","Sosial Media"
"2022/06/22 10:56:13 PM GMT+7","19","11 - 18 jam",""
"2022/06/22 10:57:54 PM GMT+7","17","11 - 18 jam","kerja"
"2022/06/22 11:21:45 PM GMT+7","17","11 - 18 jam","Kerja dr jam 8-17 pake hp. Pulang hp lagi. Mo tidur hp lagi"
"2022/06/23 12:07:11 AM GMT+7","19","1-5 jam","Untuk menonton hentai"
"2022/06/23 12:12:13 AM GMT+7","18","11 - 18 jam",""
"2022/06/23 12:49:04 AM GMT+7","20","6-10 jam","Belajar,google,yt,nonton anime,baca manga,telp,social media(wa,ig, telegram,line),tugas dan materi "
"2022/06/23 1:16:00 AM GMT+7","19","11 - 18 jam","Jelas ngoding dan research atau YouTube "
"2022/06/23 6:38:59 AM GMT+7","17","6-10 jam",""